S.No,LABELS
0,0
1,1
2,1
3,1
4,0
5,0
6,0
7,0
8,1
9,0
10,0
11,1
12,0
13,1
14,1
15,0
16,1
17,0
18,0
19,1
20,1
21,0
22,0
23,0
24,1
25,1
26,1
27,0
28,1
29,0
30,0
31,1
32,0
33,1
34,0
35,1
36,0
37,1
38,1
39,0
40,1
41,1
42,0
43,1
44,0
45,0
46,1
47,1
48,1
49,1
50,1
51,0
52,1
53,0
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,1
62,0
63,1
64,1
65,0
66,0
67,1
68,1
69,1
70,1
71,0
72,0
73,0
74,1
75,0
76,1
77,1
78,0
79,0
80,0
81,0
82,0
83,1
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,1
92,0
93,1
94,1
95,1
96,0
97,0
98,0
99,0
100,1
101,1
102,1
103,1
104,0
105,1
106,0
107,1
108,1
109,1
110,0
111,1
112,0
113,1
114,1
115,1
116,1
117,1
118,0
119,1
120,0
121,1
122,0
123,1
124,1
125,1
126,1
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,1
135,0
136,0
137,1
138,0
139,0
140,1
141,0
142,1
143,0
144,1
145,0
146,1
147,0
148,0
149,1
150,0
151,0
152,0
153,1
154,1
155,1
156,1
157,0
158,1
159,0
160,1
161,0
162,0
163,0
164,0
165,1
166,1
167,1
168,1
169,1
170,0
171,1
172,1
173,1
174,0
175,0
176,1
177,0
178,1
179,1
180,0
181,1
182,0
183,1
184,1
185,0
186,0
187,1
188,1
189,1
190,0
191,0
192,1
193,0
194,1
195,0
196,0
197,0
198,1
199,1
200,0
201,0
202,1
203,0
204,1
205,1
206,0
207,0
208,1
209,1
210,1
211,0
212,1
213,0
214,1
215,0
216,0
217,1
218,0
219,0
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,0
229,1
230,0
231,0
232,0
233,1
234,1
235,0
236,0
237,0
238,1
239,0
240,1
241,0
242,0
243,1
244,1
245,0
246,1
247,1
248,0
249,0
250,1
251,0
252,0
253,0
254,1
255,0
256,1
257,0
258,1
259,1
260,1
261,1
262,1
263,1
264,0
265,1
266,1
267,0
268,1
269,0
270,1
271,1
272,0
273,1
274,1
275,1
276,0
277,0
278,1
279,0
280,0
281,0
282,1
283,1
284,1
285,1
286,0
287,0
288,0
289,1
290,0
291,0
292,1
293,0
294,0
295,1
296,1
297,0
298,0
299,1
300,0
301,1
302,1
303,1
304,1
305,0
306,0
307,0
308,1
309,1
310,1
311,1
312,1
313,1
314,0
315,1
316,1
317,1
318,1
319,1
320,0
321,1
322,1
323,0
324,0
325,0
326,0
327,1
328,0
329,1
330,0
331,1
332,0
333,0
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,0
342,1
343,0
344,1
345,1
346,1
347,0
348,1
349,1
350,1
351,1
352,0
353,1
354,1
355,1
356,0
357,0
358,0
359,1
360,0
361,0
362,0
363,1
364,0
365,0
366,0
367,1
368,1
369,1
370,1
371,0
372,1
373,1
374,0
375,1
376,0
377,0
378,0
379,1
380,0
381,0
382,1
383,1
384,1
385,0
386,1
387,1
388,1
389,0
390,1
391,1
392,0
393,1
394,1
395,1
396,1
397,0
398,1
399,0
400,0
401,1
402,0
403,1
404,1
405,1
406,1
407,1
408,0
409,0
410,1
411,1
412,0
413,1
414,1
415,0
416,1
417,1
418,1
419,0
420,1
421,0
422,1
423,0
424,0
425,1
426,0
427,1
428,1
429,0
430,1
431,1
432,1
433,0
434,1
435,0
436,1
437,0
438,1
439,0
440,1
441,0
442,1
443,0
444,0
445,0
446,1
447,1
448,1
449,1
450,1
451,0
452,1
453,0
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,0
463,1
464,1
465,0
466,1
467,0
468,1
469,0
470,1
471,1
472,1
473,1
474,0
475,1
476,0
477,1
478,1
479,1
480,0
481,1
482,0
483,0
484,1
485,1
486,1
487,1
488,1
489,0
490,1
491,1
492,0
493,0
494,1
495,1
496,0
497,1
498,1
499,1
500,1
501,0
502,1
503,0
504,1
505,0
506,0
507,1
508,0
509,0
510,0
511,1
512,1
513,1
514,1
515,1
516,1
517,0
518,0
519,1
520,0
521,0
522,0
523,1
524,0
525,1
526,0
527,0
528,1
529,0
530,1
531,1
532,0
533,0
534,1
535,1
536,0
537,1
538,0
539,0
540,1
541,1
542,1
543,1
544,0
545,0
546,1
547,0
548,0
549,1
550,1
551,1
552,0
553,1
554,1
555,0
556,0
557,1
558,0
559,1
560,0
561,0
562,1
563,1
564,1
565,1
566,0
567,0
568,1
569,0
570,0
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,0
580,1
581,0
582,1
583,1
584,0
585,1
586,0
587,0
588,1
589,1
590,1
591,0
592,0
593,0
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,0
603,0
604,1
605,0
606,1
607,0
608,1
609,0
610,1
611,0
612,1
613,0
614,0
615,1
616,1
617,1
618,1
619,0
620,1
621,1
622,1
623,1
624,0
625,1
626,1
627,1
628,1
629,0
630,1
631,1
632,1
633,0
634,1
635,1
636,0
637,0
638,1
639,0
640,1
641,1
642,1
643,0
644,0
645,1
646,1
647,1
648,0
649,0
650,0
651,1
652,1
653,1
654,1
655,1
656,1
657,0
658,0
659,1
660,0
661,1
662,0
663,0
664,1
665,0
666,1
667,1
668,0
669,1
670,0
671,1
672,0
673,0
674,1
675,1
676,1
677,1
678,1
679,0
680,0
681,1
682,0
683,1
684,0
685,1
686,1
687,0
688,0
689,1
690,0
691,1
692,0
693,1
694,1
695,0
696,0
697,1
698,1
699,1
700,0
701,1
702,1
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,0
714,1
715,1
716,0
717,1
718,0
719,1
720,0
721,1
722,0
723,0
724,0
725,1
726,0
727,1
728,1
729,1
730,1
731,0
732,0
733,0
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,0
742,0
743,1
744,1
745,1
746,0
747,1
748,1
749,1
750,1
751,1
752,1
753,0
754,1
755,1
756,0
757,0
758,0
759,0
760,0
761,0
762,1
763,1
764,0
765,0
766,0
767,1
768,0
769,1
770,1
771,1
772,0
773,1
774,0
775,1
776,0
777,1
778,1
779,1
780,0
781,1
782,0
783,1
784,0
785,0
786,1
787,1
788,1
789,1
790,1
791,1
792,1
793,1
794,0
795,1
796,0
797,1
798,1
799,1
800,1
801,0
802,0
803,1
804,1
805,1
806,1
807,0
808,0
809,1
810,1
811,0
812,0
813,0
814,0
815,1
816,1
817,0
818,1
819,0
820,0
821,1
822,1
823,1
824,0
825,1
826,0
827,0
828,1
829,0
830,0
831,0
832,0
833,1
834,1
835,1
836,0
837,0
838,1
839,0
840,1
841,0
842,1
843,1
844,1
845,1
846,1
847,1
848,0
849,1
850,1
851,1
852,0
853,0
854,1
855,1
856,1
857,0
858,0
859,1
860,1
861,1
862,1
863,1
864,0
865,1
866,1
867,1
868,0
869,1
870,1
871,1
872,1
873,1
874,0
875,1
876,0
877,0
878,0
879,0
880,1
881,0
882,0
883,1
884,1
885,0
886,0
887,1
888,0
889,1
890,1
891,0
892,0
893,1
894,0
895,0
896,1
897,0
898,1
899,0
900,1
901,1
902,1
903,0
904,0
905,1
906,1
907,1
908,1
909,1
910,0
911,0
912,0
913,1
914,1
915,0
916,0
917,0
918,0
919,1
920,1
921,0
922,1
923,0
924,0
925,1
926,0
927,0
928,0
929,0
930,1
931,1
932,0
933,1
934,0
935,0
936,1
937,1
938,1
939,0
940,1
941,0
942,1
943,0
944,1
945,1
946,1
947,0
948,0
949,1
950,1
951,1
952,0
953,0
954,1
955,0
956,1
957,0
958,0
959,0
960,1
961,1
962,0
963,1
964,1
965,1
966,1
967,1
968,1
969,1
970,1
971,1
972,1
973,1
974,0
975,0
976,0
977,0
978,0
979,1
980,1
981,0
982,1
983,1
984,1
985,0
986,0
987,0
988,1
989,1
990,1
991,0
992,1
993,1
994,0
995,1
996,1
997,1
998,0
999,0
1000,0
1001,0
1002,0
1003,1
1004,1
1005,0
1006,0
1007,0
1008,1
1009,1
1010,1
1011,0
1012,0
1013,1
1014,1
1015,0
1016,1
1017,1
1018,0
1019,0
1020,1
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,1
1029,0
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,0
1038,1
1039,0
1040,0
1041,1
1042,1
1043,0
1044,1
1045,1
1046,0
1047,1
1048,1
1049,1
1050,1
1051,1
1052,0
1053,1
1054,0
1055,0
1056,1
1057,1
1058,1
1059,1
1060,0
1061,0
1062,1
1063,1
1064,0
1065,1
1066,1
1067,1
1068,0
1069,1
1070,1
1071,1
1072,1
1073,1
1074,1
1075,1
1076,1
1077,0
1078,1
1079,1
1080,0
1081,0
1082,1
1083,1
1084,1
1085,0
1086,0
1087,1
1088,1
1089,0
1090,1
1091,1
1092,0
1093,1
1094,1
1095,1
1096,0
1097,0
1098,1
1099,1
1100,1
1101,1
1102,1
1103,0
1104,0
1105,1
1106,1
1107,0
1108,1
1109,0
1110,0
1111,0
1112,1
1113,1
1114,0
1115,0
1116,1
1117,0
1118,0
1119,0
1120,0
1121,1
1122,0
1123,1
1124,0
1125,0
1126,0
1127,1
1128,0
1129,0
1130,1
1131,1
1132,0
1133,0
1134,0
1135,0
1136,1
1137,0
1138,1
1139,0
1140,0
1141,0
1142,1
1143,0
1144,0
1145,1
1146,0
1147,1
1148,1
1149,1
1150,0
1151,1
1152,0
1153,1
1154,0
1155,1
1156,0
1157,0
1158,1
1159,0
1160,0
1161,1
1162,0
1163,0
1164,0
1165,0
1166,0
1167,1
1168,1
1169,1
1170,0
1171,0
1172,0
1173,0
1174,0
1175,1
1176,1
1177,0
1178,1
1179,1
1180,0
1181,0
1182,0
1183,0
1184,0
1185,1
1186,1
1187,1
1188,1
1189,1
1190,1
1191,0
1192,0
1193,1
1194,0
1195,1
1196,0
1197,0
1198,1
1199,1
